attendance,away_3p_attempts,away_3p_made,away_3p_pct,away_assists,away_blocks,away_fg_attempts,away_fg_made,away_fg_pct,away_fouls,away_ft_attempts,away_ft_made,away_ft_pct,away_q1,away_q2,away_q3,away_q4,away_rebounds,away_rest_days,away_score,away_steals,away_team,away_travel_distance,away_turnovers,date,defensive_rating,game_id,home_3p_attempts,home_3p_made,home_3p_pct,home_assists,home_blocks,home_fg_attempts,home_fg_made,home_fg_pct,home_fouls,home_ft_attempts,home_ft_made,home_ft_pct,home_q1,home_q2,home_q3,home_q4,home_rebounds,home_rest_days,home_score,home_steals,home_team,home_travel_distance,home_turnovers,home_win,league,offensive_rating,overtime,pace,pace_estimate,point_diff,processed_at,referees,season,total_points,true_shooting_pct,venue
5000,0,0,0,20,4,0,0,0,20,3,0,0.0,0,0,0,0,35,,0,7,Toronto Raptors,,13,2026-01-28,,game_7574762894971503603,0,0,0,20,4,4,2,0.5,20,3,0,0.0,0,0,0,0,35,,4,7,"Sun, Jan 26, 2020",,13,1,Unknown,,0,,0.044444444444444446,4,2026-01-28T15:28:30.703187,Unknown,2024-25,4,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,PG,,13,2026-01-28,,game_4966022865167864534,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Pistoia Basket 2000,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.777700,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,F,,13,2026-01-28,,game_286884547024996694,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,Scafati,,13,0,Unknown,,0,,44.96666666666667,-1,2026-01-28T15:28:31.077852,Unknown,2024-25,4047,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,PG,,13,2026-01-28,,game_-5792573056508794510,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,Bursaspor,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:30.774510,Unknown,2024-25,4051,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,SG/F,,13,2026-01-28,,game_7865559449338056638,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Reyer Venezia,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.940628,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,SG,,13,2026-01-28,,game_3623279641148374845,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Cluj-Napoca,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:31.076275,Unknown,2024-25,4049,,Unknown
5000,42,14,0.333,20,4,88,44,0.5,20,20,17,0.85,0,0,0,0,35,,89,7,Valencia,,13,2026-01-28,,game_-322476155875581239,39,13,0.333,20,4,78,39,0.5,20,18,15,0.833,0,0,0,0,35,,79,7,Panathina.,,13,0,Unknown,,0,,1.8666666666666667,-10,2026-01-28T15:28:30.730262,Unknown,2024-25,168,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,F,,13,2026-01-28,,game_3076754185534720456,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,FC Barcelona,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.953020,Unknown,2024-25,4045,,Unknown
5000,33,11,0.333,20,4,66,33,0.5,20,16,13,0.812,0,0,0,0,35,,67,7,Dubai,,13,2026-01-28,,game_-3888570452414214540,42,14,0.333,20,4,86,43,0.5,20,20,17,0.85,0,0,0,0,35,,86,7,Olympia.,,13,1,Unknown,,0,,1.7,19,2026-01-28T15:28:30.747922,Unknown,2024-25,153,,Unknown
5000,36,12,0.333,20,4,72,36,0.5,20,17,14,0.824,0,0,0,0,35,,73,7,Ulm,,13,2026-01-28,,game_1456999344671553304,36,12,0.333,20,4,72,36,0.5,20,17,14,0.824,0,0,0,0,35,,72,7,London L.,,13,0,Unknown,,0,,1.6111111111111112,-1,2026-01-28T15:28:30.751916,Unknown,2024-25,145,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,PF/C,,13,2026-01-28,,game_995567442069725640,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,Aquila Trento,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:31.007659,Unknown,2024-25,4043,,Unknown
5000,36,12,0.333,20,4,76,38,0.5,20,18,15,0.833,0,0,0,0,35,,77,7,Bayern,,13,2026-01-28,,game_-3245449597989265159,51,17,0.333,20,4,102,51,0.5,20,23,20,0.87,0,0,0,0,35,,103,7,Monaco,,13,1,Unknown,,0,,2.0,26,2026-01-28T15:28:30.724585,Unknown,2024-25,180,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,F/PF,,13,2026-01-28,,game_853787042525965342,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Valencia Basket,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.986824,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,SG,,13,2026-01-28,,game_8528817437360455528,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,Maccabi Tel Aviv BC,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:31.171464,Unknown,2024-25,4043,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,PG,,13,2026-01-28,,game_-6371920474619164361,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,Olimpia Milano,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:31.079722,Unknown,2024-25,4043,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,PG,,13,2026-01-28,,game_-6049110521187689438,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,Reyer Venezia,,13,0,Unknown,,0,,44.96666666666667,-1,2026-01-28T15:28:30.853369,Unknown,2024-25,4047,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,PG,,13,2026-01-28,,game_3522750811211876577,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,ratiopharm Ulm,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:31.059176,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,PG,,13,2026-01-28,,game_2420154207788612036,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,Slask Wroclaw,,13,0,Unknown,,0,,44.96666666666667,-1,2026-01-28T15:28:30.960241,Unknown,2024-25,4047,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,PG,,13,2026-01-28,,game_8087138453094814579,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,Hamburg Towers,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.839118,Unknown,2024-25,4045,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,SG,,13,2026-01-28,,game_5131605559500363715,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Dinamo Sassari,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.882620,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,PG,,13,2026-01-28,,game_7400337071894557263,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,Badalona,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:30.877643,Unknown,2024-25,4043,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,PG,,13,2026-01-28,,game_-935678209434606798,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,Real Madrid,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:30.878051,Unknown,2024-25,4051,,Unknown
5000,39,13,0.333,20,4,78,39,0.5,20,18,15,0.833,0,0,0,0,35,,79,7,Besiktas,,13,2026-01-28,,game_-6112681319023804966,39,13,0.333,20,4,82,41,0.5,20,19,16,0.842,0,0,0,0,35,,82,7,Buducnost,,13,1,Unknown,,0,,1.788888888888889,3,2026-01-28T15:28:30.763295,Unknown,2024-25,161,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,SG/F,,13,2026-01-28,,game_3305882519018246948,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,Anadolu Efes Istanbul,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:30.864437,Unknown,2024-25,4051,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,F/PF,,13,2026-01-28,,game_-7002485505723584502,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,KK Buducnost,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:31.074978,Unknown,2024-25,4045,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,PF,,13,2026-01-28,,game_4331089765517736074,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,Panathinaikos Athlitikos Omilos,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:30.995366,Unknown,2024-25,4043,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,C,,13,2026-01-28,,game_2912163531688076839,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,ASVEL Villeurbanne,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:30.784140,Unknown,2024-25,4043,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,PG,,13,2026-01-28,,game_-6169172884851696475,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Basket Cremona,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.809650,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,C,,13,2026-01-28,,game_1695360897947180936,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,Pallacanestro Trieste,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:31.108416,Unknown,2024-25,4045,,Unknown
5000,42,14,0.333,20,4,86,43,0.5,20,20,17,0.85,0,0,0,0,35,,87,7,Baskonia,,13,2026-01-28,,game_5248187366255332958,45,15,0.333,20,4,94,47,0.5,20,21,18,0.857,0,0,0,0,35,,94,7,Real Mad.,,13,1,Unknown,,0,,2.011111111111111,7,2026-01-28T15:28:30.729984,Unknown,2024-25,181,,Unknown
5000,42,14,0.333,20,4,86,43,0.5,20,20,17,0.85,0,0,0,0,35,,87,7,Jena,,13,2026-01-28,,game_2270806938771330736,39,13,0.333,20,4,82,41,0.5,20,19,16,0.842,0,0,0,0,35,,83,7,Heidelb.,,13,0,Unknown,,0,,1.8888888888888888,-4,2026-01-28T15:28:31.249104,Unknown,2024-25,170,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,SG,,13,2026-01-28,,game_2220660509879415893,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,Varese,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.817367,Unknown,2024-25,4045,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,SG,,13,2026-01-28,,game_-5185180946860074905,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,Basket Cremona,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:31.178157,Unknown,2024-25,4043,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,F,,13,2026-01-28,,game_7969262030828502723,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,Olympiacos Piraeus,,13,0,Unknown,,0,,44.96666666666667,-1,2026-01-28T15:28:30.812536,Unknown,2024-25,4047,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,PG,,13,2026-01-28,,game_-2083240368781251922,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,Virtus Bologna,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:31.045238,Unknown,2024-25,4051,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,PF/C,,13,2026-01-28,,game_4848778091700250214,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,KK Partizan,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:30.977679,Unknown,2024-25,4043,,Unknown
5000,42,14,0.333,20,4,88,44,0.5,20,20,17,0.85,0,0,0,0,35,,89,7,Giessen 4,,13,2026-01-28,,game_4830942675332179092,33,11,0.333,20,4,66,33,0.5,20,16,13,0.812,0,0,0,0,35,,66,7,Karlsruhe,,13,0,Unknown,,0,,1.7222222222222223,-23,2026-01-28T15:28:31.252017,Unknown,2024-25,155,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,SG,,13,2026-01-28,,game_2292407810064498702,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,CB Gran Canaria,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.795680,Unknown,2024-25,4045,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,PF/C,,13,2026-01-28,,game_-7584474352171932520,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,KK Crvena zvezda,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.796443,Unknown,2024-25,4045,,Unknown
5000,39,13,0.333,20,4,82,41,0.5,20,19,16,0.842,0,0,0,0,35,,82,7,Karlsruhe,,13,2026-01-28,,game_-8992614531805687833,42,14,0.333,20,4,88,44,0.5,20,20,17,0.85,0,0,0,0,35,,88,7,Koblenz,,13,1,Unknown,,0,,1.8888888888888888,6,2026-01-28T15:28:31.260635,Unknown,2024-25,170,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,PF,,13,2026-01-28,,game_403520395050588693,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,Slask Wroclaw,,13,0,Unknown,,0,,44.96666666666667,-1,2026-01-28T15:28:30.968381,Unknown,2024-25,4047,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,PG,,13,2026-01-28,,game_3780510895733836486,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,BC Zalgiris,,13,0,Unknown,,0,,44.96666666666667,-1,2026-01-28T15:28:30.860322,Unknown,2024-25,4047,,Unknown
5000,30,10,0.333,20,4,64,32,0.5,20,15,12,0.8,0,0,0,0,35,,64,7,Wolmirst.,,13,2026-01-28,,game_-3660049275254108768,45,15,0.333,20,4,90,45,0.5,20,21,18,0.857,0,0,0,0,35,,91,7,Tuebingen,,13,1,Unknown,,0,,1.7222222222222223,27,2026-01-28T15:28:31.267668,Unknown,2024-25,155,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,PG,,13,2026-01-28,,game_2975728347254558275,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,Victoria Libertas Pallacanestro,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:31.114295,Unknown,2024-25,4045,,Unknown
5000,51,17,0.333,20,4,106,53,0.5,20,24,21,0.875,0,0,0,0,35,,107,7,Koblenz,,13,2026-01-28,,game_6116796990578372230,42,14,0.333,20,4,88,44,0.5,20,20,17,0.85,0,0,0,0,35,,89,7,Bochum,,13,0,Unknown,,0,,2.1777777777777776,-18,2026-01-28T15:28:31.258124,Unknown,2024-25,196,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,PG,,13,2026-01-28,,game_-7838247257806688422,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,FC Barcelona,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:31.089819,Unknown,2024-25,4051,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,PG/SG,,13,2026-01-28,,game_2189610003893651792,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Paris Basketball,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.921815,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,PG,,13,2026-01-28,,game_-6664401253552179816,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Panathinaikos Athlitikos Omilos,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.895388,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,PG,,13,2026-01-28,,game_760560935003099101,1008,336,0.333,20,4,2020,1010,0.5,20,407,404,0.993,0,0,0,0,35,,2021,7,Brindisi,,13,0,Unknown,,0,,44.922222222222224,-1,2026-01-28T15:28:31.168719,Unknown,2024-25,4043,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,SG,,13,2026-01-28,,game_1669165244567648128,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,Baskonia Vitoria-Gasteiz,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.929088,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,C,,13,2026-01-28,,game_-8913558257421462813,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,JL Bourg-en-Bresse,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.813452,Unknown,2024-25,4045,,Unknown
5000,36,12,0.333,20,4,76,38,0.5,20,18,15,0.833,0,0,0,0,35,,77,7,Valencia,,13,2026-01-28,,game_-4132901561132826624,42,14,0.333,20,4,86,43,0.5,20,20,17,0.85,0,0,0,0,35,,86,7,Zalgiris,,13,1,Unknown,,0,,1.8111111111111111,9,2026-01-28T15:28:30.740880,Unknown,2024-25,163,,Unknown
5000,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,SG,,13,2026-01-28,,game_1964327498554663658,1011,337,0.333,20,4,2024,1012,0.5,20,407,404,0.993,0,0,0,0,35,,2024,7,ALBA Berlin,,13,0,Unknown,,0,,44.98888888888889,-1,2026-01-28T15:28:30.857017,Unknown,2024-25,4049,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,F,,13,2026-01-28,,game_-4774792866348464839,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,CB Gran Canaria,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:31.085947,Unknown,2024-25,4045,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,PG,,13,2026-01-28,,game_2099787042780181434,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,Pallacanestro Cantù,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:31.016239,Unknown,2024-25,4051,,Unknown
5000,39,13,0.333,20,4,82,41,0.5,20,19,16,0.842,0,0,0,0,35,,82,7,H.Tel-A.,,13,2026-01-28,,game_4050367055818807856,36,12,0.333,20,4,72,36,0.5,20,17,14,0.824,0,0,0,0,35,,72,7,Bayern,,13,0,Unknown,,0,,1.711111111111111,-10,2026-01-28T15:28:30.723278,Unknown,2024-25,154,,Unknown
5000,1011,337,0.333,20,4,2026,1013,0.5,20,408,405,0.993,0,0,0,0,35,,2026,7,PF,,13,2026-01-28,,game_1703983149461057777,1011,337,0.333,20,4,2024,1012,0.5,20,408,405,0.993,0,0,0,0,35,,2025,7,Basquet Manresa,,13,0,Unknown,,0,,45.01111111111111,-1,2026-01-28T15:28:31.193191,Unknown,2024-25,4051,,Unknown
5000,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2023,7,F,,13,2026-01-28,,game_-7897562037957195177,1011,337,0.333,20,4,2022,1011,0.5,20,407,404,0.993,0,0,0,0,35,,2022,7,Baskonia Vitoria-Gasteiz,,13,0,Unknown,,0,,44.94444444444444,-1,2026-01-28T15:28:30.859703,Unknown,2024-25,4045,,Unknown
